Name,Age,Height,Sport,Book,Movie,Music,Food,Country
Person_1,34,150,Soccer,Mystery,Action,Country,Lasagna,USA
Person_2,23,172,Tennis,Romance,Romance,Rock,Lasagna,USA
Person_3,21,171,None,Historical Fiction,None,Rock,Tacos,Japan
Person_4,20,169,Cycling,Historical Fiction,Horror,None,Curry,China
Person_5,24,157,Volleyball,Poetry,Mystery,Pop,Falafel,USA
Person_6,28,179,Soccer,Biography,Romance,Hip Hop,Sushi,South Korea
Person_7,23,160,Yoga,Poetry,Mystery,Jazz,Jollof Rice,Italy
Person_8,32,156,Volleyball,Romance,Comedy,Electronic,Jollof Rice,Japan
Person_9,33,163,Hiking,Self-help,Action,Reggae,Falafel,USA
Person_10,18,150,Golf,Mystery,Romance,Hip Hop,Pad Thai,India
Person_11,29,171,Basketball,Biography,Comedy,Rock,Pad Thai,Canada
Person_12,22,151,None,Self-help,Romance,Blues,Beef Noodle,India
Person_13,22,173,Yoga,Biography,Action,Blues,Lasagna,USA
Person_14,31,176,Basketball,None,Drama,Pop,Pizza,Australia
Person_15,24,154,Soccer,Romance,Action,None,Ramen,Australia
Person_16,21,153,Soccer,None,Comedy,Pop,Pizza,China
Person_17,27,173,Cycling,Science Fiction,Fantasy,None,Lasagna,China
Person_18,19,170,Tennis,Self-help,Romance,Blues,Curry,India
Person_19,34,175,Yoga,Thriller,Drama,Reggae,Sushi,India
Person_20,22,160,Soccer,Poetry,Drama,Electronic,Falafel,France
Person_21,32,156,Tennis,Thriller,Mystery,Rock,Jollof Rice,India
Person_22,18,158,Soccer,Fantasy,Drama,Classical,Sushi,South Korea
Person_23,33,162,Swimming,Horror,Thriller,Jazz,Beef Noodle,India
Person_24,31,154,Volleyball,Mystery,None,Rock,Tacos,France
Person_25,20,156,Hiking,Self-help,Horror,Blues,Sushi,Japan
Person_26,22,166,Golf,Thriller,Romance,Electronic,Lasagna,South Korea
Person_27,27,173,Basketball,Horror,Mystery,Country,Ramen,France
Person_28,28,165,Volleyball,Mystery,Thriller,Folk,Pizza,Canada
Person_29,27,165,Running,Horror,Thriller,Hip Hop,Tacos,Japan
Person_30,23,157,Tennis,Historical Fiction,Action,Folk,Jollof Rice,Japan
Person_31,19,172,Yoga,None,Documentary,Reggae,Jollof Rice,USA
Person_32,28,163,None,Historical Fiction,Science Fiction,Classical,Falafel,South Korea
Person_33,29,166,Yoga,Poetry,Horror,Blues,Pad Thai,Japan
Person_34,19,174,Swimming,Fantasy,Romance,Blues,Curry,South Korea
Person_35,19,167,Yoga,Thriller,Comedy,Hip Hop,Pad Thai,England
Person_36,33,157,Running,Horror,Science Fiction,Country,Curry,France
Person_37,20,150,Running,Horror,None,Electronic,Jollof Rice,China
Person_38,31,158,Yoga,Biography,Thriller,None,Jollof Rice,India
Person_39,18,178,Cycling,Poetry,Action,Classical,Pizza,Canada
Person_40,33,171,Soccer,None,Mystery,Jazz,Beef Noodle,South Korea
Person_41,32,154,Golf,Thriller,Drama,Pop,Falafel,Japan
Person_42,21,174,Tennis,Thriller,Drama,Hip Hop,Pizza,Australia
Person_43,19,164,Hiking,Historical Fiction,Drama,Folk,Curry,France
Person_44,30,178,None,Science Fiction,None,Reggae,Sushi,India
Person_45,32,158,Volleyball,Historical Fiction,Action,Rock,Jollof Rice,Canada
Person_46,31,153,Golf,Biography,Horror,Electronic,Beef Noodle,China
Person_47,32,167,Basketball,None,None,Pop,Lasagna,Italy
Person_48,27,151,Golf,None,Science Fiction,Country,Sushi,USA
Person_49,21,166,Hiking,Mystery,Action,Jazz,Pad Thai,USA
Person_50,29,157,Golf,Poetry,Science Fiction,Rock,Pad Thai,France
Person_51,33,164,Basketball,Historical Fiction,Science Fiction,Country,Pad Thai,Australia
Person_52,32,169,Tennis,Fantasy,Science Fiction,Rock,Beef Noodle,China
Person_53,33,165,Swimming,Science Fiction,Mystery,Reggae,Falafel,Canada
Person_54,31,166,Cycling,Horror,None,Classical,Ramen,Australia
Person_55,32,163,Cycling,Science Fiction,Drama,Jazz,Falafel,USA
Person_56,32,171,Basketball,Poetry,Comedy,Rock,Jollof Rice,Canada
Person_57,32,173,Hiking,Mystery,Action,Blues,Jollof Rice,Canada
Person_58,24,167,Golf,Fantasy,Science Fiction,Classical,Falafel,Japan
Person_59,19,173,Cycling,Historical Fiction,Comedy,Country,Sushi,India
Person_60,19,157,Golf,Fantasy,Comedy,Classical,Tacos,Japan
Person_61,18,156,Basketball,Fantasy,Science Fiction,Hip Hop,Tacos,China
Person_62,21,162,Tennis,Romance,Thriller,Pop,Sushi,South Korea
Person_63,22,178,Basketball,Science Fiction,Drama,Rock,Beef Noodle,Australia
Person_64,32,176,Swimming,Biography,Documentary,Jazz,Pad Thai,Italy
Person_65,32,167,Volleyball,Fantasy,Romance,Electronic,Pad Thai,Australia
Person_66,26,160,Yoga,Biography,Fantasy,Rock,Sushi,China
Person_67,21,150,Swimming,Romance,Action,Reggae,Pad Thai,Canada
Person_68,23,176,Tennis,Science Fiction,Action,Hip Hop,Jollof Rice,Canada
Person_69,29,167,Running,Thriller,Science Fiction,Country,Pad Thai,India
Person_70,20,169,Running,Thriller,Documentary,None,Curry,Italy
Person_71,22,179,Running,Poetry,None,Reggae,Sushi,Canada
Person_72,23,178,Volleyball,Biography,Science Fiction,None,Curry,China
Person_73,28,154,Hiking,Thriller,Drama,Blues,Ramen,China
Person_74,29,151,Basketball,Self-help,Romance,Jazz,Pizza,Australia
Person_75,28,175,Golf,Historical Fiction,Horror,Classical,Lasagna,Italy
Person_76,33,167,Basketball,None,Fantasy,Jazz,Tacos,England
Person_77,21,176,Hiking,Poetry,Fantasy,Rock,Jollof Rice,Italy
Person_78,32,161,Golf,Fantasy,Horror,None,Tacos,South Korea
Person_79,32,151,Cycling,Self-help,Documentary,Folk,Sushi,South Korea
Person_80,24,178,Cycling,Historical Fiction,Fantasy,Pop,Sushi,China
Person_81,21,176,Yoga,Science Fiction,None,Pop,Ramen,England
Person_82,29,156,Running,Biography,Thriller,Classical,Falafel,China
Person_83,30,158,Soccer,Mystery,Thriller,Blues,Pad Thai,Australia
Person_84,23,151,Running,Historical Fiction,Horror,Reggae,Pad Thai,France
Person_85,31,167,Golf,Thriller,Comedy,Blues,Pizza,USA
Person_86,26,154,Yoga,Historical Fiction,None,Electronic,Beef Noodle,Canada
Person_87,18,155,Volleyball,Romance,Action,Pop,Pad Thai,USA
Person_88,25,173,Tennis,Mystery,Comedy,Jazz,Ramen,USA
Person_89,33,162,Cycling,Science Fiction,Documentary,Rock,Ramen,USA
Person_90,21,172,Basketball,Historical Fiction,Horror,Rock,Curry,Italy
Person_91,21,152,Swimming,Historical Fiction,Fantasy,Rock,Lasagna,England
Person_92,35,173,Swimming,Biography,Romance,Country,Tacos,South Korea
Person_93,18,177,Yoga,Mystery,Thriller,Hip Hop,Falafel,France
Person_94,22,152,None,Self-help,None,Jazz,Lasagna,Australia
Person_95,18,179,Basketball,Fantasy,Fantasy,Hip Hop,Curry,South Korea
Person_96,23,179,Yoga,Thriller,Action,Pop,Tacos,USA
Person_97,24,163,Hiking,Mystery,None,None,Curry,Italy
Person_98,23,160,None,Historical Fiction,Mystery,Reggae,Ramen,England
Person_99,20,150,Tennis,Mystery,Thriller,Pop,Ramen,China
Person_100,29,158,Hiking,Science Fiction,Fantasy,Reggae,Falafel,Japan
Person_101,21,179,Soccer,Historical Fiction,Action,Folk,Beef Noodle,England
Person_102,24,170,Running,Horror,Drama,Jazz,Falafel,England
Person_103,33,151,Basketball,Romance,Science Fiction,Classical,Falafel,England
Person_104,25,172,None,Mystery,None,Blues,Beef Noodle,India
Person_105,23,161,Tennis,None,Documentary,Blues,Pizza,India
Person_106,24,175,Volleyball,None,Romance,Classical,Pad Thai,Italy
Person_107,25,150,Basketball,Romance,Action,Folk,Falafel,Canada
Person_108,35,160,Cycling,Poetry,Drama,Rock,Sushi,Italy
Person_109,24,179,None,Poetry,Fantasy,Folk,Lasagna,Canada
Person_110,35,162,Tennis,None,Drama,Rock,Pad Thai,Australia
Person_111,19,175,Golf,Self-help,None,None,Tacos,USA
Person_112,32,170,Tennis,Poetry,Action,Reggae,Ramen,Italy
Person_113,32,177,Hiking,Biography,Documentary,Rock,Lasagna,USA
Person_114,19,167,None,Fantasy,Drama,Reggae,Jollof Rice,Italy
Person_115,32,158,Soccer,Historical Fiction,Action,Blues,Beef Noodle,Italy
Person_116,32,170,Hiking,Science Fiction,Drama,Classical,Curry,USA
Person_117,23,169,Tennis,Fantasy,Documentary,Rock,Beef Noodle,Italy
Person_118,28,176,Soccer,Romance,Fantasy,Jazz,Pizza,China
Person_119,21,161,Basketball,Mystery,Action,Hip Hop,Tacos,France
Person_120,20,165,Yoga,Biography,Drama,Electronic,Lasagna,France
Person_121,21,154,Volleyball,None,Horror,Pop,Jollof Rice,Japan
Person_122,19,150,Soccer,Horror,Horror,Jazz,Tacos,China
Person_123,23,155,Golf,Historical Fiction,None,Blues,Jollof Rice,England
Person_124,32,175,Yoga,Poetry,None,Country,Beef Noodle,South Korea
Person_125,22,151,Soccer,Historical Fiction,Drama,Folk,Pizza,Italy
Person_126,32,154,Basketball,Historical Fiction,None,Classical,Curry,France
Person_127,18,158,Yoga,Fantasy,Thriller,Electronic,Sushi,China
Person_128,18,151,None,Poetry,None,Classical,Lasagna,South Korea
Person_129,29,176,Yoga,Historical Fiction,Science Fiction,Electronic,Sushi,USA
Person_130,24,165,Hiking,Science Fiction,Mystery,Folk,Pizza,Japan
Person_131,23,151,Soccer,Horror,Action,Hip Hop,Falafel,China
Person_132,19,155,Running,Biography,Thriller,Reggae,Jollof Rice,South Korea
Person_133,23,178,Cycling,None,None,Folk,Pad Thai,Canada
Person_134,23,169,Tennis,Fantasy,None,Classical,Falafel,Italy
Person_135,20,177,Golf,Fantasy,Action,Blues,Jollof Rice,France
Person_136,27,180,Golf,Romance,Documentary,Electronic,Lasagna,Canada
Person_137,25,159,Soccer,Romance,Documentary,Folk,Pad Thai,England
Person_138,29,151,Running,Biography,Comedy,Classical,Lasagna,Italy
Person_139,26,178,Cycling,Romance,Science Fiction,Country,Pizza,Canada
Person_140,29,165,None,Thriller,Thriller,Pop,Pizza,England
Person_141,19,167,Volleyball,None,Romance,Hip Hop,Falafel,Japan
Person_142,30,159,None,Biography,Action,Blues,Beef Noodle,Canada
Person_143,34,166,Cycling,Horror,None,Reggae,Lasagna,France
Person_144,20,167,Running,Thriller,Thriller,Folk,Jollof Rice,India
Person_145,30,150,Hiking,None,Horror,None,Curry,Italy
Person_146,23,161,Hiking,Fantasy,Comedy,Hip Hop,Curry,Australia
Person_147,18,176,Cycling,Poetry,Documentary,Folk,Sushi,India
Person_148,23,154,Volleyball,Horror,None,Pop,Ramen,France
